"Category Code","Item Code","Item Name","Effective Date","Reference No",IN,OUT,BALANCE,"Transaction Type","Requested By","Sytem Documnet No"
Stationary,OFM2150130,"คลิปดำ 1 5/8 นิ้ว 40 มม. (กล่อง12ตัว) ตราม้า 109",06/Nov/2019,,,,5,B/B,
Stationary,OFM2150140,"คลิปดำ 1 1/4 นิ้ว (กล่อง12ตัว) ตราม้า 110",06/Nov/2019,,,,0,B/B,
Stationary,OFM2150150,"คลิปดำ 1 นิ้ว (กล่อง12ตัว) ตราม้า 111",06/Nov/2019,,,,12,B/B,
Stationary,OFM2150161,"คลิปดำ 3/4 นิ้ว (กล่อง12ตัว) ตราม้า 112",06/Nov/2019,,,,9,B/B,
Stationary,OFM2420072,"แท่นประทับ สีแดง ตร้ามา",06/Nov/2019,,,,2,B/B,
Stationary,OFM2420073,"แท่นประทับ สีน้ำเงิน ตราม้า",06/Nov/2019,,,,0,B/B,
Stationary,OFM2430022,"หมึกเติมแท่นประทับ 28 ซีซี. แดง ตราม้า",06/Nov/2019,,,,3,B/B,
Stationary,OFM2430023,"หมึกเติมแท่นประทับ 28 ซีซี. น้ำเงิน ตราม้า",06/Nov/2019,,,,2,B/B,
Stationary,OFM3000864,"กาวช้าง 3 กรัม (กล่อง12หลอด) ออลทีโก้",06/Nov/2019,,,,10,B/B,
Stationary,OFM3001318,"กระดาษกาวย่น 48.มม.x20หลา ONE",06/Nov/2019,,,,1,B/B,
Stationary,OFM3001324,"เทปใส แกน3นิ้ว 24.มม.x36หลา (แพ็ค6ม้วน) สีใส ONE",06/Nov/2019,,,,12,B/B,
Stationary,OFM3001326,"เทปผ้า (24 มม. x9 หลา)ดำ ONE",06/Nov/2019,,,,0,B/B,
Stationary,OFM3001327,"เทปผ้า (48 มม. x9 หลา) ดำ ONE",06/Nov/2019,,,,12,B/B,
Stationary,OFM3001328,"เทปผ้า (48 มม. x9 หลา) เหลือง ONE",06/Nov/2019,,,,0,B/B,
Stationary,OFM3001330,"เทปผ้า (48 มม. x9 หลา) เขียว ONE",06/Nov/2019,,,,0,B/B,
Stationary,OFM3001335,"เทปผ้า (48 มม. x9 หลา) แดง ONE",06/Nov/2019,,,,2,B/B,
Stationary,OFM3001341,"เทปเยื่อกาว 2 หน้า 18 มม.x20 หลา (แพ็ค4ม้วน) ONE",06/Nov/2019,,,,12,B/B,
Stationary,OFM3001491,"แท่นตัดเทป ชมพู ออร์ก้า 15",06/Nov/2019,,,,3,B/B,
Stationary,OFM3011120,"กาวแท่ง 10 กรัม ตราช้าง Sticko",06/Nov/2019,,,,10,B/B,
Stationary,OFM3011130,"กาวแท่ง 22 กรัม ตราช้าง Sticko",06/Nov/2019,,,,0,B/B,
Stationary,OFM3101160,"เทปใส แกน 1 นิ้ว 3/4 นิ้วx36 หลาแพ็ค6ม้วน สก๊อตช์ 500",06/Nov/2019,,,,10,B/B,
Stationary,OFM3160520,"เทปโฟม 21 มม.x50 ซม. สก๊อตช์ 110",06/Nov/2019,,,,10,B/B,
Stationary,OFM3160860,"เทปโฟม 21 มม.x3 ม. อาร์มสตรองค์ WF-1010",06/Nov/2019,,,,0,B/B,
Stationary,OFM3180062,"ผ้าเทป 1นิ้วx8 หลา แดง ใบโพธิ์",06/Nov/2019,,,,0,B/B,
Stationary,OFM3180064,"ผ้าเทป 1นิ้วx8 หลา เขียว ใบโพธิ์",06/Nov/2019,,,,0,B/B,
Stationary,OFM3180066,"ผ้าเทป 1 นิ้วx8 หลา เหลือง ใบโพธิ์",06/Nov/2019,,,,2,B/B,
Stationary,OFM5005072,"สมุดปกอ่อน ตัด 9 16x23.5ซม. 60แกรม 80แผ่น (6เล่ม) ONE",06/Nov/2019,,,,10,B/B,
Stationary,OFM5005584,"สติกเกอร์กระดาษขาวด้าน A4 (100แผ่น/แพ็ค) ONE",06/Nov/2019,,,,50,B/B,
Stationary,OFM5005794,"สมุดปกแข็ง 16.5x25 ซม. 80แผ่น แพ็ค 6เล่ม ONE",06/Nov/2019,,,,8,B/B,
Stationary,OFM5010111,"กระดาษ A4",06/Nov/2019,,,,70,B/B,
Stationary,OFM5010470,"กระดาษ A3",06/Nov/2019,,,,5,B/B,
Stationary,OFM5023940,"กระดาษสีถ่ายเอกสาร2 A4 80แกรม เขียวอ่อน100ผ SB Spectrum",06/Nov/2019,,,,100,B/B,
Stationary,OFM5024490,"กระดาษสีถ่ายเอกสาร 6 A4 80แกรม เหลือง 100ผ. SB Spectrum",06/Nov/2019,,,,0,B/B,
Stationary,OFM5024500,"กระดาษสีถ่ายเอกสาร 8 A4 80แกรม ชมพู 100ผ. SB Spectrum",06/Nov/2019,,,,0,B/B,
Stationary,OFM5296480,"สติกเกอร์พีวีซีใส A4 70ไมครอน แพ็ค50แผ่น บอส",06/Nov/2019,,,,50,B/B,
Stationary,OFM6000479,"คลิปบอร์ดหนังเทียม A4 คละสี ออร์ก้า 102",06/Nov/2019,,,,3,B/B,
Stationary,OFM6001914,"แฟ้มซอง A4 คละสี (แพ็ค12เล่ม) YOYA E310",06/Nov/2019,,,,12,B/B,
Stationary,OFM6002895,"อินเด็กช์พลาสติก 1-12 Databank VID-C12",06/Nov/2019,,,,0,B/B,
Stationary,OFM6003893,"แฟ้มสันรูด A4 5มม. คละสี (แพ็ค12เล่ม) ONE",06/Nov/2019,,,,10,B/B,
Stationary,OFM6003919,"ซองถนอมเอกสาร 11 รู A4 (100 ซอง/แพ็ค) ONE",06/Nov/2019,,,,100,B/B,
Stationary,OFM6004586,"แฟ้มโชว์พลาสติก A4 ใส ฟลามิงโก้ 9085A",06/Nov/2019,,,,4,B/B,
Stationary,OFM7001892,"พลาสติกเคลือบบัตร A4 หนา 100 ไมครอน ONE Essentials",06/Nov/2019,,,,50,B/B,
Stationary,OFM7001900,"พลาสติกเคลือบบัตร A3 หนา125ไมครอน ONE Essentials",06/Nov/2019,,,,80,B/B,
Stationary,OFM7002513,"แปรงลบกระดาน ด้ามไม้ ONE",06/Nov/2019,,,,2,B/B,
Stationary,OFM8030071,"ถ่านไฟฉาย R6NT/4SL AA Panasonic NEO",06/Nov/2019,,,,36,B/B,
Stationary,OFM8030101,"ถ่านไฟฉาย R03NT/2SL AAA Panasonic NEO",06/Nov/2019,,,,19,B/B,
Stationary,OFM8030230,"ถ่านอัลคาไลน์ LR6T/4B AA Panasonic",06/Nov/2019,,,,20,B/B,
Stationary,OFM8030250,"ถ่านอัลคาไลน์ LR03T/4B AAA Panasonic",06/Nov/2019,,,,18,B/B,
Stationary,OFM8030550,"ถ่านไฟฉาย R14NT/2SL C (แพ็ค 2 ก้อน) Panasonic NEO",06/Nov/2019,,,,30,B/B,
Stationary,OFM8030570,"ถ่านไฟฉาย R20NT/2SL D (แพ็ค 2 ก้อน) Panasonic NEO",06/Nov/2019,,,,16,B/B,
Stationary,OFM8031350,"ถ่านไฟฉาย 6F22NT/1SL 9V (1 ก้อน) Panasonic NEO",06/Nov/2019,,,,14,B/B,
Supply,OFM0000172,"กระดาษเช็ดหน้า 150แผ่น ขาว (แพ็ค3กล่อง) คลีเน็กซ์",06/Nov/2019,,,,3,B/B,
Supply,OFM0000252,"น้ำยาล้างจาน 3600 มล. ไลปอนเอฟ",06/Nov/2019,,,,1,B/B,
Supply,OFM0000724,"ถุงขยะ 28*20",06/Nov/2019,,,,2,B/B,
Supply,OFM0000725,"ถุงขยะ 24*28",06/Nov/2019,,,,4,B/B,
Supply,OFM0000727,"ถุงขยะ 30*40",06/Nov/2019,,,,1,B/B,
Supply,OFM0000728,"ถุงขยะ 36*45",06/Nov/2019,,,,3,B/B,
Supply,OFM0001225,"น้ำยาเก็บฝุ่นอเนกประสงค์ 3.8 ลิตร ดีแบค",06/Nov/2019,,,,1,B/B,
Supply,OFM0001319,"ใยติดฟองน้ำ (แพ็ค6ชิ้น)",06/Nov/2019,,,,6,B/B,
Supply,OFM0001970,"น้ำยาล้างห้องน้ำ 900 มล. ม่วง เป็ด",06/Nov/2019,,,,3,B/B,
Supply,OFM0002116,"เจลปรับอากาศ เฟรช แอร์",06/Nov/2019,,,,2,B/B,
Supply,OFM0002852,น้ำตาลแบบถุง,06/Nov/2019,,,,13,B/B,
Supply,OFM0003150,"น้ำยาล้างจาน 20 ลิตร ไลปอนเอฟ",06/Nov/2019,,,,0,B/B,
Supply,"OFM0020730
",กาแฟ(หีบ12ถุง),06/Nov/2019,,,,10,B/B,
Supply,OFM0030050,ครีมเทียมแบบถุง(หีบ24ถุง),06/Nov/2019,,,,11,B/B,
Supply,OFM0040880,"ชาซอง 2 กรัม (กล่อง 100 ซอง) ดิลมา Premium",06/Nov/2019,,,,50,B/B,
Supply,OFM0050640,โอวัลติน,06/Nov/2019,,,,12,B/B,
Supply,OFM0071350,น้ำตาลแบบซอง(ถุง100ซอง),06/Nov/2019,,,,60,B/B,
Supply,OFM0091480,กระดาษเช็ดมือ,06/Nov/2019,,,,4,B/B,
Supply,OFM0095580,กระดาษชำระ,06/Nov/2019,,,,4,B/B,
Supply,OFM0300300,"น้ำยาเช็ดกระจก 5200 ซีซี. คิงส์สเตลล่า",06/Nov/2019,,,,0,B/B,
Supply,OFM0300560,"สบู่เหลว สีชมพู 3 M",06/Nov/2019,,,,1,B/B,
Supply,OFM0302450,"ผลิตภัณฑ์ทำความสะอาดพื้น เพอร์ฟุม 5200มล. คิงส์สเตลล่า",06/Nov/2019,,,,1,B/B,
Supply,OFM0312030,สเปร์ปรับอากาศ,06/Nov/2019,,,,1,B/B,
Supply,OFM0312060,"เจลปรับอากาศ เกลด ลาเวนเดอร์",06/Nov/2019,,,,0,B/B,
